,title,main_speaker,website_link,event
123,"Spore, birth of a game",Will Wright,"https://www.ted.com/talks/will_wright_makes_toys_that_make_worlds
",TED2007
124,The  4 a.m. mystery,Rives,"https://www.ted.com/talks/rives_on_4_a_m
",TED2007
125,Visualizing the wonder of a living cell,David Bolinsky,"https://www.ted.com/talks/david_bolinsky_animates_a_cell
",TED2007
126,How to get (a new) hip,Allison Hunt,"https://www.ted.com/talks/allison_hunt_gets_a_new_hip
",TED2007
127,Africa's cheetahs versus hippos,George Ayittey,"https://www.ted.com/talks/george_ayittey_on_cheetahs_vs_hippos
",TEDGlobal 2007
128,Aid versus trade,Ngozi Okonjo-Iweala,"https://www.ted.com/talks/ngozi_okonjo_iweala_on_aid_versus_trade
",TEDGlobal 2007
129,How I built a windmill,William Kamkwamba,"https://www.ted.com/talks/william_kamkwamba_on_building_a_windmill
",TEDGlobal 2007
130,Why invest in Africa,Euvin Naidoo,"https://www.ted.com/talks/euvin_naidoo_on_investing_in_africa
",TEDGlobal 2007
131,How to educate leaders? Liberal arts,Patrick Awuah,"https://www.ted.com/talks/patrick_awuah_on_educating_leaders
",TEDGlobal 2007
132,Telling stories from Africa,Chris Abani,"https://www.ted.com/talks/chris_abani_on_the_stories_of_africa
",TEDGlobal 2007
133,Patient capitalism,Jacqueline Novogratz,"https://www.ted.com/talks/jacqueline_novogratz_on_patient_capitalism
",TEDGlobal 2007
134,"""Thula Mama""",Vusi Mahlasela,"https://www.ted.com/talks/vusi_mahlasela_sings_thula_mama
",TEDGlobal 2007
135,"""Woza""",Vusi Mahlasela,"https://www.ted.com/talks/vusi_mahlasela_s_encore_at_tedglobal2007
",TEDGlobal 2007
136,My journey into movies that matter,Jeff Skoll,"https://www.ted.com/talks/jeff_skoll_makes_movies_that_make_change
",TED2007
137,"Luke, a new prosthetic arm for soldiers",Dean Kamen,"https://www.ted.com/talks/dean_kamen_previews_a_new_prosthetic_arm
",TED2007
138,The joy of lexicography,Erin McKean,"https://www.ted.com/talks/erin_mckean_redefines_the_dictionary
",TED2007
139,Aid for Africa? No thanks.,Andrew Mwenda,"https://www.ted.com/talks/andrew_mwenda_takes_a_new_look_at_africa
",TEDGlobal 2007
140,"My creations, a new form of life",Theo Jansen,"https://www.ted.com/talks/theo_jansen_creates_new_creatures
",TED2007
141,What our language habits reveal,Steven Pinker,"https://www.ted.com/talks/steven_pinker_on_language_and_thought
",TEDGlobal 2005
142,The surprising decline in violence,Steven Pinker,"https://www.ted.com/talks/steven_pinker_on_the_myth_of_violence
",TED2007
143,An Iraq war movie crowd-sourced from soldiers,Deborah Scranton,"https://www.ted.com/talks/deborah_scranton_on_her_war_tapes
",TED2007
144,The search for humanity's roots,Zeresenay Alemseged,"https://www.ted.com/talks/zeresenay_alemseged_looks_for_humanity_s_roots
",TEDGlobal 2007
145,Designing for simplicity,John Maeda,"https://www.ted.com/talks/john_maeda_on_the_simple_life
",TED2007
146,10 ways the world could end,Stephen Petranek,"https://www.ted.com/talks/stephen_petranek_counts_down_to_armageddon
",TED2002
